callsign,airp,a_d,airl,ac_model,tail,time_sch,time_atm
VLG181J,EDDM,D,VLG,A320,EC-MFK,07:00:00,07:00:16
VLG10ML,LEMD,D,VLG,A320,EC-MVM,07:00:00,07:02:16
VLG43CD,LEIB,D,VLG,A320,EC-LQK,07:00:00,07:18:14
VLG34DP,LIPZ,D,VLG,A321,EC-MMH,07:00:00,07:18:55
VLG108G,LFPO,D,VLG,A320,EC-MNZ,07:00:00,07:21:13
VLG7480,DAOO,D,VLG,A320,EC-JGM,07:05:00,07:05:05
VLG84CG,EGKK,D,VLG,A20N,EC-NAZ,07:05:00,07:09:35
VLG99ZY,LEPA,D,VLG,A321,EC-MJR,07:05:00,07:18:53
VLG2974,LFRS,D,VLG,A20N,EC-NFJ,07:10:00,07:10:25
VLG83KQ,EHAM,D,VLG,A320,EC-LAB,07:10:00,07:10:42
EJU53TU,EGKK,D,EZY,A320,OE-IZW,07:10:00,07:18:09
VLG21HV,LEMG,D,VLG,A321,EC-MLM,07:10:00,07:18:38
VLG6246,LSZH,D,VLG,A320,EC-JZI,07:10:00,07:20:26
VLG6207,LSGG,D,VLG,A320,EC-MAO,07:10:00,07:20:26
RYR5QH,LIPE,D,RYR,B738,EI-EVY,07:15:00,07:32:28
ETD49,OMAA,A,ETD,B789,A6-BLQ,07:20:00,07:15:20
VLG24YL,GCRR,D,VLG,A321,EC-MQB,07:20:00,07:25:43
VLG18AN,EKCH,D,VLG,A320,EC-MEQ,07:20:00,07:30:37
VLG84CS,LPPT,D,VLG,A321,EC-MPV,07:20:00,07:34:00
VLG37JJ,LEMH,D,VLG,A320,EC-MDZ,07:20:00,07:34:40
VLG61PM,LIRF,D,VLG,A320,EC-KDG,07:20:00,07:40:42
RYR183D,LEPA,A,RYR,B738,EI-DLK,07:25:00,07:01:58
VLG20AF,LEGR,D,VLG,A320,EC-MKN,07:30:00,07:33:45
VLG84EL,LPPR,D,VLG,A320,EC-MXG,07:30:00,07:34:42
EJU62FP,LFSB,D,EZY,A320,OE-IZD,07:30:00,07:42:49
VLG244K,LFMN,D,VLG,A20N,EC-NCT,07:30:00,07:49:29
QTR137,OTHH,A,QTR,B77W,A7-BAC,07:35:00,07:20:24
CPA321,VHHH,A,CPA,A35K,B-LXB,07:35:00,07:31:32
VLG8MZ,LEBB,D,VLG,A320,EC-JYX,07:35:00,07:38:11
VLG33F,LIMC,D,VLG,A320,EC-MFM,07:40:00,07:42:06
EJU79AN,EGGD,D,EZY,A320,OE-IZL,07:40:00,07:45:42
VLG86TM,LKPR,D,VLG,A320,EC-MGE,07:40:00,07:47:11
VLG65GP,LIRN,D,VLG,A20N,EC-NBA,07:40:00,07:49:32
RYR1E,GMMX,D,RYR,B738,EI-DLE,07:40:00,07:50:38
VLG2XX,LOWW,D,VLG,A320,EC-LLJ,07:45:00,08:00:41
MLD597,LUKK,A,MLD,E190,ER-ECC,07:50:00,07:43:06
AEA6006,LEPA,A,AEA,B738,EC-IDT,07:50:00,07:43:58
VLG242N,LFPG,D,VLG,A321,EC-MRF,07:50:00,07:59:13
VLG1512,LFML,D,VLG,A20N,EC-NAE,07:50:00,08:06:09
VLG48PE,LFBD,D,VLG,A320,EC-LVS,07:50:00,08:13:52
VLG91UB,LEPA,A,VLG,A20N,EC-NFI,07:55:00,07:47:59
DLH02K,EDDM,D,DLH,A320,D-AIQU,07:55:00,08:21:06
CCA839,ZSPD,A,CCA,A332,B-6541,08:00:00,07:43:05
THY6346,LTBA,D,KZU,A310,TC-SGM,08:00:00,08:02:46
IBK6LE,EFHK,D,NAX,B738,EI-GBG,08:00:00,08:02:58
VLG74TG,GCXO,D,VLG,A320,EC-MAH,08:00:00,08:06:29
DLH25E,EDDF,D,DLH,A321,D-AISU,08:00:00,08:09:17
RYR6362,LEPA,D,RYR,B738,EI-DLK,08:00:00,08:14:29
EJU67YH,LIMC,A,EZY,A319,OE-LKK,08:05:00,08:00:03
TRA89A,EHAM,A,TRA,B738,PH-HZO,08:10:00,07:51:18
VLG14GL,LEBB,A,VLG,A320,EC-LVP,08:10:00,07:57:09
VLG1311,LEAL,A,VLG,A320,EC-MBM,08:10:00,08:14:23
CCA845,ZBAA,A,CCA,A333,B-8385,08:15:00,08:09:06
RYR6397,LEZL,A,RYR,B738,EI-FTH,08:15:00,08:09:33
VLG7893,ULLI,A,VLG,A320,EC-LVO,08:20:00,07:42:17
VLG80XK,LFPO,D,VLG,A320,EC-JTQ,08:20:00,08:24:46
VLG22TQ,LEZL,A,VLG,A320,EC-MFN,08:25:00,08:06:40
EJU76TB,LFLL,A,EZY,A319,OE-LQI,08:25:00,08:10:53
DLH22A,EDDM,A,DLH,A320,D-AIPS,08:30:00,08:17:42
IBE0831,LEMD,D,IBE,A320,EC-KOH,08:30:00,08:51:57
VLG3923,LEPA,A,VLG,A20N,EC-NCU,08:35:00,08:33:36
VLG41SB,LEST,A,VLG,A320,EC-MJB,08:35:00,08:34:26
BEL6BC,EBBR,A,BEL,A319,OO-SSV,08:35:00,08:44:38
VLG70AR,LFPO,A,VLG,A321,EC-MMU,08:40:00,08:27:19
EJU68LP,LIMC,D,EZY,A319,OE-LKK,08:40:00,08:44:29
MLD598,LUKK,D,MLD,E190,ER-ECC,08:40:00,08:44:45
VLG39ZS,LEPA,D,VLG,A20N,EC-NFI,08:40:00,08:50:48
