callsign,airp,a_d,airl,ac_model,tail,time_sch,time_atm
VLG47GA,LFPO,A,VLG,A320,EC-LVU,21:45:00,21:39:11
TRA43Y,EHAM,D,TRA,B738,PH-HSW,21:45:00,21:47:14
VLG21SE,LEMG,D,VLG,A320,EC-MKN,21:45:00,21:49:18
VLG14TH,LEBB,D,VLG,A20N,EC-NAV,21:45:00,21:49:22
EJU84CE,LIMC,D,EZY,A319,OE-LQQ,21:50:00,21:54:43
WZZ234,LHBP,A,WZZ,A321,HA-LTF,21:55:00,21:34:14
WZZ172,LROP,D,WZZ,A321,HA-LXD,21:55:00,21:55:12
VLG35AW,LEIB,D,VLG,A320,EC-MFL,21:55:00,21:57:40
RYR2UG,LEPA,A,RYR,B738,EI-EBS,22:00:00,21:43:07
VLG22YW,LEZL,A,VLG,A320,EC-MES,22:00:00,21:51:25
AEA6103,LEPA,D,AEA,B738,EC-LVR,22:00:00,22:00:00
RYR2495,LEPA,D,RYR,B738,EI-DLO,22:00:00,22:00:00
