callsign,airp,a_d,airl,ac_model,tail,time_sch,time_atm
VLG43CD,LEIB,D,VLG,A320,EC-MOG,07:00:00,07:02:17
VLG142E,LEBB,D,VLG,A321,EC-MHB,07:00:00,07:02:57
VLG34DP,LIPZ,D,VLG,A321,EC-MLM,07:00:00,07:08:45
VLG108G,LFPO,D,VLG,A320,EC-MBD,07:00:00,07:11:19
VLG181J,EDDM,D,VLG,A320,EC-MBK,07:00:00,07:13:09
VLG10ML,LEMD,D,VLG,A320,EC-MVM,07:00:00,07:25:08
VLG99ZY,LEPA,D,VLG,A321,EC-MOO,07:05:00,07:05:58
VLG84CG,EGKK,D,VLG,A320,EC-JSY,07:05:00,07:12:33
VLG6246,LSZH,D,VLG,A320,EC-MXG,07:10:00,07:14:42
VLG6207,LSGG,D,VLG,A320,EC-LQK,07:10:00,07:15:50
BAW477,EGLL,D,BAW,A320,G-EUUC,07:10:00,07:16:42
EJU53TU,EGKK,D,EZY,A320,OE-ICR,07:10:00,07:20:50
VLG21HV,LEMG,D,VLG,A321,EC-MQL,07:10:00,07:21:43
VLG83KQ,EHAM,D,VLG,A320,EC-MKN,07:10:00,07:25:10
VLG2974,LFRS,D,VLG,A320,EC-MBY,07:10:00,07:32:04
ETD49,OMAA,A,ETD,B789,A6-BLM,07:20:00,07:02:54
VLG32HM,LEVX,D,VLG,A320,EC-MVN,07:20:00,07:21:26
VLG37JJ,LEMH,D,VLG,A320,EC-MKO,07:20:00,07:21:35
IBK6375,GCXO,D,NAX,B738,EI-GBB,07:20:00,07:21:40
VLG61PM,LIRF,D,VLG,A320,EC-LAA,07:20:00,07:33:23
VLG18AN,EKCH,D,VLG,A320,EC-MFN,07:20:00,07:34:41
VLG84CS,LPPT,D,VLG,A321,EC-MMU,07:20:00,07:41:00
VLG244K,LFMN,D,VLG,A320,EC-LUO,07:20:00,07:43:49
RYR183D,LEPA,A,RYR,B738,EI-DYD,07:25:00,07:16:37
VLG98ZP,LGAV,D,VLG,A321,EC-MHA,07:30:00,07:32:25
THY6351,LFSB,D,THY,A332,TC-JOY,07:30:00,07:37:18
VLG20AF,LEGR,D,VLG,A321,EC-MGZ,07:30:00,07:37:27
VLG2480,GCRR,D,VLG,A20N,EC-NAE,07:30:00,08:02:18
QTR137,OTHH,A,TAM,A359,A7-AMB,07:35:00,07:40:59
VLG2WB,EGKK,D,VLG,A321,EC-MPV,07:35:00,07:52:26
EJU36VU,LFBD,D,EZY,A320,OE-IZW,07:35:00,07:59:29
RYR2DG,EGFF,D,RYR,B738,EI-DPV,07:40:00,07:42:03
EJU62FP,LFSB,D,EZY,A320,OE-IZL,07:40:00,07:42:05
VLG65GP,LIRN,D,VLG,A320,EC-MAN,07:40:00,07:51:44
VLG33F,LIMC,D,VLG,A20N,EC-NCS,07:40:00,07:56:12
VLG26JP,GCFV,D,VLG,A20N,EC-NCF,07:40:00,08:02:59
UAL140,KIAD,A,UAL,B764,N76054,07:45:00,07:29:02
VLG2XX,LOWW,D,VLG,A320,EC-MCU,07:45:00,08:04:51
AEA6006,LEPA,A,AEA,B738,EC-LTM,07:50:00,07:44:29
VLG48PE,LFBD,D,VLG,A320,EC-MFL,07:50:00,07:51:19
VLG86TM,LKPR,D,VLG,A320,EC-MFM,07:50:00,07:55:30
VLG1594,LEXJ,D,VLG,A320,EC-LVO,07:50:00,08:04:43
VLG242N,LFPG,D,VLG,A321,EC-MRF,07:50:00,08:12:26
VLG91UB,LEPA,A,VLG,A320,EC-LVT,07:55:00,07:30:42
SQP741,UKBB,A,SQP,B738,UR-SQA,07:55:00,07:55:27
DLH02K,EDDM,D,DLH,A321,D-AIRA,07:55:00,08:07:29
IBK8VF,ENGM,D,NAX,B738,EI-FVY,08:00:00,08:03:31
VLG1822,EDDH,D,VLG,A20N,EC-NAZ,08:00:00,08:05:38
RYR6362,LEPA,D,RYR,B738,EI-DYD,08:00:00,08:06:15
AEA7704,LEMD,D,AEA,B738,EC-MJU,08:00:00,08:10:20
SWT8154,DAAG,D,SWT,AT72,EC-INV,08:00:00,08:20:39
IBK6LE,EFHK,D,NAX,B738,EI-FVZ,08:00:00,08:21:37
RYR4WU,EGBB,D,RYR,B738,EI-EBL,08:00:00,08:23:32
VLG6602,LICJ,D,VLG,A20N,EC-NAF,08:00:00,08:24:03
DLH25E,EDDF,D,DLH,A321,D-AIRU,08:00:00,08:30:31
EJU67YH,LIMC,A,EZY,A319,OE-LQD,08:05:00,08:13:21
TRA89A,EHAM,A,TRA,B738,PH-HZE,08:10:00,07:50:32
EZS76ZK,LSGG,A,EZY,A320,HB-JYA,08:10:00,08:09:30
VLG6287,LIBR,D,VLG,A320,EC-MER,08:10:00,08:16:07
RYR6397,LEZL,A,RYR,B738,EI-EMB,08:15:00,07:54:22
CCA845,ZBAA,A,CCA,A333,B-8383,08:15:00,08:02:05
TVF25JY,LFPO,A,TRA,B738,F-GZHC,08:20:00,07:54:02
VLG7893,ULLI,A,VLG,A320,EC-LZZ,08:20:00,08:14:10
VLG84EL,LPPR,D,VLG,A20N,EC-MZT,08:20:00,08:20:05
EWG5B,LOWW,A,EWG,A319,OE-LYZ,08:30:00,08:20:14
DLH22A,EDDM,A,DLH,A320,D-AIPZ,08:30:00,08:33:06
IBE0831,LEMD,D,IBE,A320,EC-LXQ,08:30:00,08:45:26
BEL6BC,EBBR,A,BEL,A320,OO-SNH,08:35:00,08:06:47
VLG41SB,LEST,A,VLG,A320,EC-LUN,08:35:00,08:16:13
