callsign,airp,a_d,airl,ac_model,tail,time_sch,time_atm
VLG34DP,LIPZ,D,VLG,A321,EC-MRF,07:00:00,07:02:46
VLG142E,LEBB,D,VLG,A320,EC-MBM,07:00:00,07:02:51
VLG10ML,LEMD,D,VLG,A320,EC-MVM,07:00:00,07:04:02
VLG108G,LFPO,D,VLG,A320,EC-MCU,07:00:00,07:04:29
VLG43CD,LEIB,D,VLG,A320,EC-KDG,07:00:00,07:10:32
VLG181J,EDDM,D,VLG,A320,EC-MER,07:00:00,07:22:33
VLG99ZY,LEPA,D,VLG,A321,EC-MQB,07:05:00,07:12:15
VLG68P,GCLP,D,VLG,A320,EC-MEL,07:10:00,07:12:45
VLG2974,LFRS,D,VLG,A320,EC-LOP,07:10:00,07:20:43
VLG83KQ,EHAM,D,VLG,A20N,EC-NDB,07:10:00,07:24:16
VLG21HV,LEMG,D,VLG,A321,EC-MGY,07:10:00,07:24:53
EJU53TU,EGKK,D,EZY,A320,OE-ICR,07:10:00,07:25:23
BAW477,EGLL,D,BAW,A320,G-EUUJ,07:10:00,07:27:30
VLG18AN,EKCH,D,VLG,A320,EC-LOC,07:15:00,07:19:10
ETD49,OMAA,A,ETD,B789,A6-BLK,07:20:00,07:07:22
VLG84CS,LPPT,D,VLG,A321,EC-MGZ,07:20:00,07:29:37
VLG98ZP,LGAV,D,VLG,A321,EC-MLM,07:20:00,07:30:34
VLG37JJ,LEMH,D,VLG,A320,EC-MFK,07:20:00,07:33:37
IBE0721,LEMD,D,IBE,A20N,EC-NER,07:20:00,07:35:33
VLG61PM,LIRF,D,VLG,A320,EC-MAO,07:20:00,07:36:45
VLG32HM,LEVX,D,VLG,A320,EC-LVU,07:20:00,07:40:28
VLG244K,LFMN,D,VLG,A320,EC-MYC,07:20:00,07:51:42
RYR183D,LEPA,A,RYR,B738,EI-DWC,07:25:00,07:12:46
VLG130W,LFRN,D,VLG,A320,EC-LQK,07:30:00,07:30:45
VLG59QE,LEMD,D,VLG,A320,EC-KJD,07:30:00,07:32:30
VLG84EL,LPPR,D,VLG,A320,EC-MJB,07:30:00,07:41:06
VLG20AF,LEGR,D,VLG,A321,EC-MHA,07:30:00,07:42:13
ANE36CD,LEVC,D,IBE,CRJX,EC-MVZ,07:30:00,07:44:33
QTR137,OTHH,A,TAM,A359,A7-AMB,07:35:00,07:23:22
VLG2WB,EGKK,D,VLG,A321,EC-MPV,07:35:00,07:38:07
VLG8MZ,LEBB,D,VLG,A320,EC-MKN,07:35:00,07:41:43
VLG86TM,LKPR,D,VLG,A320,EC-MKM,07:40:00,07:45:44
EJU62FP,LFSB,D,EZY,A320,OE-IZL,07:40:00,07:48:13
VLG33F,LIMC,D,VLG,A320,EC-MXG,07:40:00,08:01:39
IBE0630,LEMD,A,IBE,A320,EC-IZH,07:45:00,07:36:47
VLG2XX,LOWW,D,VLG,A320,EC-MEQ,07:45:00,07:47:54
AEA6006,LEPA,A,AEA,B738,EC-LVR,07:50:00,07:47:55
VLG242N,LFPG,D,VLG,A20N,EC-NFJ,07:50:00,07:55:12
EJU36VU,LFBD,D,EZY,A320,OE-IZD,07:50:00,07:58:12
