callsign,airp,a_d,airl,ac_model,tail,time_sch,time_atm
VLG142E,LEBB,D,VLG,A321,EC-MHA,07:00:00,07:02:25
VLG10ML,LEMD,D,VLG,A320,EC-MVM,07:00:00,07:08:14
VLG34DP,LIPZ,D,VLG,A321,EC-MLM,07:00:00,07:08:34
VLG181J,EDDM,D,VLG,A320,EC-MXG,07:00:00,07:13:39
VLG108G,LFPO,D,VLG,A320,EC-LAB,07:00:00,07:18:26
VLG43CD,LEIB,D,VLG,A320,EC-MBE,07:00:00,07:26:04
VLG84CG,EGKK,D,VLG,A320,EC-MAN,07:05:00,07:16:29
VLG99ZY,LEPA,D,VLG,A321,EC-MLD,07:05:00,07:30:48
VLG6246,LSZH,D,VLG,A20N,EC-NAZ,07:10:00,07:10:26
VLG6207,LSGG,D,VLG,A320,EC-MEQ,07:10:00,07:13:03
VLG21HV,LEMG,D,VLG,A321,EC-MGZ,07:10:00,07:15:00
VLG2974,LFRS,D,VLG,A320,EC-KHN,07:10:00,07:21:39
VLG83KQ,EHAM,D,VLG,A320,EC-MBT,07:10:00,07:23:51
EJU53TU,EGKK,D,EZY,A320,OE-ICR,07:10:00,07:32:07
ETD49,OMAA,A,ETD,B789,A6-BLN,07:20:00,07:11:00
VLG244K,LFMN,D,VLG,A20N,EC-NAE,07:20:00,07:24:11
VLG18AN,EKCH,D,VLG,A20N,EC-NDB,07:20:00,07:24:52
IBK6375,GCXO,D,NAX,B738,EI-FVY,07:20:00,07:29:13
VLG37JJ,LEMH,D,VLG,A320,EC-LVS,07:20:00,07:30:35
VLG84CS,LPPT,D,VLG,A321,EC-MRF,07:20:00,07:33:03
VLG61PM,LIRF,D,VLG,A320,EC-MBD,07:20:00,07:35:10
VLG32HM,LEVX,D,VLG,A320,EC-MDZ,07:20:00,07:51:22
RYR183D,LEPA,A,RYR,B738,EI-DHH,07:25:00,07:25:27
VLG98ZP,LGAV,D,VLG,A321,EC-MMH,07:30:00,07:40:00
VLG20AF,LEGR,D,VLG,A321,EC-MQL,07:30:00,07:42:57
VLG2480,GCRR,D,VLG,A320,EC-MFK,07:30:00,07:47:06
QTR137,OTHH,A,QTR,B77W,A7-BAQ,07:35:00,07:16:34
EJU36VU,LFBD,D,EZY,A320,OE-IZD,07:35:00,07:48:29
VLG2WB,EGKK,D,VLG,A321,EC-MHB,07:35:00,07:55:04
VLG65GP,LIRN,D,VLG,A320,EC-MEL,07:40:00,07:41:03
VLG33F,LIMC,D,VLG,A320,EC-MKN,07:40:00,07:52:32
VLG26JP,GCFV,D,VLG,A20N,EC-NCF,07:40:00,07:53:03
RYR2DG,EGFF,D,RYR,B738,EI-DYY,07:40:00,07:59:59
EJU62FP,LFSB,D,EZY,A320,OE-IZW,07:40:00,08:03:00
VLG2XX,LOWW,D,VLG,A320,EC-LOC,07:45:00,07:46:08
UAL140,KIAD,A,UAL,B764,N76064,07:45:00,07:51:39
AEA6006,LEPA,A,AEA,B738,EC-IDA,07:50:00,07:20:19
VLG1594,LEXJ,D,VLG,A320,EC-LLJ,07:50:00,07:51:13
VLG48PE,LFBD,D,VLG,A320,EC-JYX,07:50:00,07:52:15
VLG86TM,LKPR,D,VLG,A320,EC-MFL,07:50:00,07:54:07
VLG242N,LFPG,D,VLG,A320,EC-MGE,07:50:00,08:01:56
SQP741,UKBB,A,SQP,B738,UR-SQF,07:55:00,07:41:02
VLG91UB,LEPA,A,VLG,A320,EC-KCU,07:55:00,07:51:35
DLH02K,EDDM,D,DLH,A321,D-AIDC,07:55:00,08:09:10
RYR4WU,EGBB,D,RYR,B738,EI-FEI,08:00:00,08:00:06
IBK6LE,EFHK,D,NAX,B738,EI-GBB,08:00:00,08:02:19
SWT8154,DAAG,D,SWT,AT75,EC-MAF,08:00:00,08:04:15
RYR6362,LEPA,D,RYR,B738,EI-DHH,08:00:00,08:07:12
VLG6602,LICJ,D,VLG,A320,EC-LUN,08:00:00,08:13:00
IBK8VF,ENGM,D,NAX,B738,EI-GBF,08:00:00,08:13:52
DLH25E,EDDF,D,DLH,A321,D-AISQ,08:00:00,08:24:59
VLG1822,EDDH,D,VLG,A320,EC-KDG,08:00:00,08:32:36
EJU67YH,LIMC,A,EZY,A319,OE-LQW,08:05:00,07:52:37
EZS76ZK,LSGG,A,EZY,A320,HB-JXN,08:10:00,07:55:56
VLG1311,LEAL,A,VLG,A320,EC-LVO,08:10:00,07:58:04
VLG6287,LIBR,D,VLG,A320,EC-KJD,08:10:00,08:10:12
