callsign,airp,a_d,airl,ac_model,tail,time_sch,time_atm
VLG34DP,LIPZ,D,VLG,A321,EC-MRF,07:00:00,07:02:05
VLG108G,LFPO,D,VLG,A320,EC-MNZ,07:00:00,07:02:36
VLG10ML,LEMD,D,VLG,A320,EC-LVT,07:00:00,07:04:07
VLG142E,LEBB,D,VLG,A320,EC-MXP,07:00:00,07:10:31
VLG181J,EDDM,D,VLG,A320,EC-LVP,07:00:00,07:17:53
VLG43CD,LEIB,D,VLG,A320,EC-MQE,07:00:00,07:19:22
VLG99ZY,LEPA,D,VLG,A321,EC-MQL,07:05:00,07:10:20
VLG68P,GCLP,D,VLG,A320,EC-MEL,07:10:00,07:14:04
VLG21HV,LEMG,D,VLG,A321,EC-MGZ,07:10:00,07:16:04
BAW477,EGLL,D,BAW,A320,G-EUYC,07:10:00,07:18:02
EJU53TU,EGKK,D,EZY,A320,OE-ICR,07:10:00,07:21:22
VLG2974,LFRS,D,VLG,A320,EC-MVN,07:10:00,07:24:30
VLG83KQ,EHAM,D,VLG,A320,EC-MVO,07:10:00,07:27:19
VLG18AN,EKCH,D,VLG,A320,EC-LQM,07:15:00,07:28:45
ETD49,OMAA,A,ETD,B789,A6-BLT,07:20:00,07:04:07
VLG244K,LFMN,D,VLG,A320,EC-MKN,07:20:00,07:30:57
VLG98ZP,LGAV,D,VLG,A321,EC-MHB,07:20:00,07:31:33
VLG37JJ,LEMH,D,VLG,A20N,EC-NCG,07:20:00,07:32:51
VLG84CS,LPPT,D,VLG,A321,EC-MMU,07:20:00,07:43:36
VLG61PM,LIRF,D,VLG,A320,EC-KDG,07:20:00,07:46:44
IBE0721,LEMD,D,IBE,A320,EC-IZR,07:20:00,07:47:42
VLG32HM,LEVX,D,VLG,A320,EC-MBD,07:20:00,07:48:38
RYR183D,LEPA,A,RYR,B738,EI-DWB,07:25:00,07:04:14
VLG20AF,LEGR,D,VLG,A321,EC-MHA,07:30:00,07:33:43
VLG59QE,LEMD,D,VLG,A320,EC-LVU,07:30:00,07:37:49
VLG84EL,LPPR,D,VLG,A20N,EC-NCS,07:30:00,07:39:13
ANE36CD,LEVC,D,IBE,CRJ9,EC-JZT,07:30:00,07:41:32
VLG130W,LFRN,D,VLG,A320,EC-MAN,07:30:00,07:41:50
QTR137,OTHH,A,TAM,A359,A7-AMB,07:35:00,07:05:15
VLG8MZ,LEBB,D,VLG,A20N,EC-NEA,07:35:00,07:43:19
VLG2WB,EGKK,D,VLG,A321,EC-MPV,07:35:00,07:55:01
EJU62FP,LFSB,D,EZY,A320,OE-IZD,07:40:00,07:44:36
VLG86TM,LKPR,D,VLG,A320,EC-LAA,07:40:00,07:56:09
VLG33F,LIMC,D,VLG,A320,EC-MUM,07:40:00,07:56:47
VLG65GP,LIRN,D,VLG,A320,EC-MBK,07:40:00,08:00:46
UAL140,KIAD,A,UAL,B764,N76064,07:45:00,07:45:12
VLG2XX,LOWW,D,VLG,A320,EC-MCU,07:45:00,07:48:36
IBE0630,LEMD,A,IBE,A320,EC-LXQ,07:45:00,08:00:03
AEA6006,LEPA,A,AEA,B738,EC-III,07:50:00,07:46:24
EJU36VU,LFBD,D,EZY,A320,OE-IZW,07:50:00,08:00:04
