callsign,airp,a_d,airl,ac_model,tail,time_sch,time_atm
VLG142E,LEBB,D,VLG,A321,EC-MLM,07:00:00,07:02:00
VLG108G,LFPO,D,VLG,A320,EC-JZI,07:00:00,07:04:59
VLG181J,EDDM,D,VLG,A320,EC-MOG,07:00:00,07:05:13
VLG10ML,LEMD,D,VLG,A20N,EC-NCU,07:00:00,07:35:46
VLG99ZY,LEPA,D,VLG,A321,EC-MQL,07:05:00,07:07:17
VLG84CG,EGKK,D,VLG,A320,EC-KJD,07:05:00,07:08:49
EJU53TU,EGKK,D,EZY,A320,OE-IZW,07:10:00,07:18:17
VLG21HV,LEMG,D,VLG,A321,EC-MRF,07:10:00,07:18:57
VLG2974,LFRS,D,VLG,A320,EC-MFL,07:10:00,07:21:41
VLG83KQ,EHAM,D,VLG,A320,EC-MVD,07:10:00,07:29:13
VLG18AN,EKCH,D,VLG,A320,EC-MAN,07:15:00,07:26:48
ETD49,OMAA,A,ETD,B77W,A6-ETD,07:20:00,07:04:10
VLG84CS,LPPT,D,VLG,A20N,EC-NDB,07:20:00,07:32:55
VLG98ZP,LGAV,D,VLG,A321,EC-MHA,07:20:00,07:36:22
IBE0721,LEMD,D,IBE,A321,EC-HUH,07:20:00,07:49:01
RYR183D,LEPA,A,RYR,B738,EI-EBF,07:25:00,07:25:25
VLG59QE,LEMD,D,VLG,A320,EC-MER,07:30:00,07:32:56
VLG20AF,LEGR,D,VLG,A321,EC-MQB,07:30:00,07:40:34
VLG84EL,LPPR,D,VLG,A320,EC-LVP,07:30:00,07:52:04
QTR137,OTHH,A,TAM,A359,A7-AQA,07:35:00,07:22:58
VLG65GP,LIRN,D,VLG,A320,EC-JYX,07:40:00,07:42:17
EJU62FP,LFSB,D,EZY,A320,OE-ICR,07:40:00,07:53:08
RYR2VW,EPKK,D,RYR,B738,EI-DCX,07:40:00,07:55:29
IBE0630,LEMD,A,IBE,A321,EC-IJN,07:45:00,07:33:38
UAL140,KIAD,A,UAL,B764,N66056,07:45:00,07:43:31
VLG2XX,LOWW,D,VLG,A20N,EC-NBA,07:45:00,07:48:00
AEA6006,LEPA,A,AEA,B738,EC-LVR,07:50:00,07:32:42
VLG48PE,LFBD,D,VLG,A320,EC-MGE,07:50:00,08:04:38
VLG1594,LEXJ,D,VLG,A20N,EC-NAZ,07:50:00,08:08:49
