callsign,airp,a_d,airl,ac_model,tail,time_sch,time_atm
VLG34DP,LIPZ,D,VLG,A321,EC-MPV,07:00:00,07:11:01
VLG108G,LFPO,D,VLG,A320,EC-MOG,07:00:00,07:16:16
VLG10ML,LEMD,D,VLG,A320,EC-MVM,07:00:00,07:17:53
VLG43CD,LEIB,D,VLG,A320,EC-MDZ,07:00:00,07:20:08
VLG142E,LEBB,D,VLG,A320,EC-MGE,07:00:00,07:24:33
VLG181J,EDDM,D,VLG,A320,EC-MKM,07:00:00,07:26:14
VLG99ZY,LEPA,D,VLG,A321,EC-MGY,07:05:00,07:27:28
VLG21HV,LEMG,D,VLG,A321,EC-MRF,07:10:00,07:10:33
EJU53TU,EGKK,D,EZY,A320,OE-IZW,07:10:00,07:13:10
VLG83KQ,EHAM,D,VLG,A320,EC-LQM,07:10:00,07:18:23
VLG6246,LSZH,D,VLG,A20N,EC-MZT,07:10:00,07:22:47
VLG2974,LFRS,D,VLG,A320,EC-KDH,07:10:00,07:24:05
BAW477,EGLL,D,BAW,A320,G-EUYG,07:10:00,07:26:41
ETD49,OMAA,A,ETD,B789,A6-BNB,07:20:00,07:02:02
VLG244K,LFMN,D,VLG,A320,EC-LVP,07:20:00,07:21:45
VLG98ZP,LGAV,D,VLG,A321,EC-MHA,07:20:00,07:22:03
VLG84CS,LPPT,D,VLG,A321,EC-MQB,07:20:00,07:22:14
IBE0721,LEMD,D,IBE,A321,EC-IGK,07:20:00,07:22:21
VLG18AN,EKCH,D,VLG,A320,EC-LOC,07:20:00,07:29:25
VLG32HM,LEVX,D,VLG,A20N,EC-NFH,07:20:00,07:31:52
VLG37JJ,LEMH,D,VLG,A320,EC-MER,07:20:00,07:38:05
RYR183D,LEPA,A,RYR,B738,EI-DYD,07:25:00,07:15:43
VLG59QE,LEMD,D,VLG,A320,EC-MBM,07:30:00,07:39:19
VLG20AF,LEGR,D,VLG,A321,EC-MOO,07:30:00,07:40:19
ANE36CD,LEVC,D,IBE,CRJ9,EC-JZT,07:30:00,07:41:37
VLG84EL,LPPR,D,VLG,A20N,EC-NDC,07:30:00,07:41:53
CPA321,VHHH,A,CPA,A35K,B-LXI,07:35:00,07:14:26
QTR137,OTHH,A,TAM,A359,A7-AMA,07:35:00,07:43:46
VLG2WB,EGKK,D,VLG,A321,EC-MLM,07:35:00,07:47:12
VLG8MZ,LEBB,D,VLG,A320,EC-MBE,07:35:00,07:50:15
VLG33F,LIMC,D,VLG,A320,EC-MKN,07:40:00,07:40:32
EJU62FP,LFSB,D,EZY,A320,OE-IZD,07:40:00,07:42:04
