callsign,airp,a_d,airl,ac_model,tail,time_sch,time_atm
VLG108G,LFPO,D,VLG,A320,EC-LZN,07:00:00,07:10:48
VLG34DP,LIPZ,D,VLG,A321,EC-MHS,07:00:00,07:11:21
VLG7010,LEMD,D,VLG,A320,EC-MVM,07:00:00,07:12:54
VLG43CD,LEIB,D,VLG,A20N,EC-NDA,07:00:00,07:18:21
VLG181J,EDDM,D,VLG,A320,EC-KCU,07:00:00,07:23:17
VLG7480,DAOO,D,VLG,A320,EC-MCU,07:05:00,07:10:26
VLG99ZY,LEPA,D,VLG,A321,EC-MQL,07:05:00,07:15:55
BAW477,EGLL,D,BAW,A320,G-EUYG,07:10:00,07:10:30
VLG6246,LSZH,D,VLG,A320,EC-JYX,07:10:00,07:10:54
VLG6207,LSGG,D,VLG,A20N,EC-NAJ,07:10:00,07:13:57
EJU53TU,EGKK,D,EZY,A320,OE-IZD,07:10:00,07:15:59
VLG21HV,LEMG,D,VLG,A321,EC-MHA,07:10:00,07:19:25
VLG83KQ,EHAM,D,VLG,A320,EC-MEL,07:10:00,07:23:11
VLG2974,LFRS,D,VLG,A320,EC-MAN,07:10:00,07:30:54
RYR5QH,LIPE,D,RYR,B738,EI-DLD,07:15:00,07:25:07
ETD49,OMAA,A,ETD,B789,A6-BLL,07:20:00,07:23:17
VLG61PM,LIRF,D,VLG,A320,EC-MXG,07:20:00,07:25:04
VLG84CS,LPPT,D,VLG,A321,EC-MOO,07:20:00,07:34:14
VLG37JJ,LEMH,D,VLG,A320,EC-JTR,07:20:00,07:36:26
VLG24YL,GCRR,D,VLG,A321,EC-MLM,07:20:00,07:36:28
VLG18AN,EKCH,D,VLG,A320,EC-KRH,07:20:00,07:37:39
RYR183D,LEPA,A,RYR,B738,EI-FRT,07:25:00,07:22:50
VLG20AF,LEGR,D,VLG,A320,EC-MOG,07:30:00,07:34:24
VLG84EL,LPPR,D,VLG,A320,EC-LQM,07:30:00,07:37:48
EJU62FP,LFSB,D,EZY,A320,OE-IZW,07:30:00,07:48:12
VLG244K,LFMN,D,VLG,A20N,EC-NAF,07:30:00,07:49:37
QTR137,OTHH,A,TAM,A359,A7-AQA,07:35:00,07:19:09
CPA321,VHHH,A,CPA,A35K,B-LXG,07:35:00,07:33:23
VLG2WB,EGKK,D,VLG,A321,EC-MMU,07:35:00,07:44:50
VLG8MZ,LEBB,D,VLG,A20N,EC-NDB,07:35:00,07:48:12
VLG86TM,LKPR,D,VLG,A320,EC-LVO,07:40:00,07:45:13
VLG65GP,LIRN,D,VLG,A320,EC-MVN,07:40:00,07:49:27
EJU79AN,EGGD,D,EZY,A320,OE-ICR,07:40:00,07:52:22
RYR1E,GMMX,D,RYR,B738,EI-DYM,07:40:00,07:57:31
VLG33F,LIMC,D,VLG,A320,EC-JGM,07:40:00,08:01:49
UAL140,KIAD,A,UAL,B764,N76065,07:45:00,07:29:15
VLG2XX,LOWW,D,VLG,A320,EC-LQN,07:45:00,07:48:28
AEA6006,LEPA,A,AEA,E195,EC-LLR,07:50:00,07:36:34
VLG242N,LFPG,D,VLG,A321,EC-MHB,07:50:00,07:50:25
MLD597,LUKK,A,MLD,E190,ER-ECD,07:50:00,07:56:15
VLG48PE,LFBD,D,VLG,A320,EC-MGE,07:50:00,07:57:12
VLG1512,LFML,D,VLG,A320,EC-MNZ,07:50:00,08:01:49
DLH02K,EDDM,D,DLH,A320,D-AIQS,07:55:00,07:55:00
VLG91UB,LEPA,A,VLG,A20N,EC-NFI,07:55:00,08:04:02
