callsign,airp,a_d,airl,ac_model,tail,time_sch,time_atm
VLG10ML,LEMD,D,VLG,A20N,EC-NCG,07:00:00,07:03:19
VLG43CD,LEIB,D,VLG,A320,EC-MAN,07:00:00,07:05:41
VLG181J,EDDM,D,VLG,A320,EC-MUM,07:00:00,07:07:08
VLG142E,LEBB,D,VLG,A320,EC-LVP,07:00:00,07:10:10
VLG34DP,LIPZ,D,VLG,A321,EC-MGZ,07:00:00,07:10:40
VLG108G,LFPO,D,VLG,A320,EC-MVN,07:00:00,07:12:06
VLG99ZY,LEPA,D,VLG,A321,EC-MHB,07:05:00,07:06:24
VLG84CG,EGKK,D,VLG,A320,EC-MEL,07:05:00,07:22:14
EJU53TU,EGKK,D,EZY,A320,OE-IZW,07:10:00,07:14:01
VLG2974,LFRS,D,VLG,A320,EC-JTR,07:10:00,07:16:28
VLG6246,LSZH,D,VLG,A20N,EC-NEA,07:10:00,07:21:03
VLG6207,LSGG,D,VLG,A20N,EC-NAZ,07:10:00,07:26:22
VLG83KQ,EHAM,D,VLG,A320,EC-LQK,07:10:00,07:27:12
VLG21HV,LEMG,D,VLG,A321,EC-MRF,07:10:00,07:30:25
VLG8538,ENGM,D,VLG,A20N,EC-NAF,07:10:00,07:35:04
BAW477,EGLL,D,BAW,A320,G-EUYG,07:10:00,07:41:13
ETD49,OMAA,A,ETD,B77W,A6-ETE,07:20:00,07:16:35
VLG84CS,LPPT,D,VLG,A321,EC-MHA,07:20:00,07:23:51
VLG18AN,EKCH,D,VLG,A320,EC-MFM,07:20:00,07:24:03
IBE0721,LEMD,D,IBE,A320,EC-ILR,07:20:00,07:25:46
VLG15DM,LEXJ,D,VLG,A320,EC-MBD,07:20:00,07:27:48
VLG32HM,LEVX,D,VLG,A320,EC-LVU,07:20:00,07:34:39
VLG244K,LFMN,D,VLG,A320,EC-MBK,07:20:00,07:35:04
VLG37JJ,LEMH,D,VLG,A320,EC-MCU,07:20:00,07:42:40
VLG61PM,LIRF,D,VLG,A320,EC-MBY,07:20:00,07:44:02
RYR183D,LEPA,A,RYR,B738,EI-DLY,07:25:00,07:16:29
VLG85VY,EFHK,D,VLG,A20N,EC-NCF,07:30:00,07:33:03
VLG20AF,LEGR,D,VLG,A321,EC-MPV,07:30:00,07:33:08
VLG98ZP,LGAV,D,VLG,A321,EC-MOO,07:30:00,07:39:38
VLG59QE,LEMD,D,VLG,A320,EC-LUO,07:30:00,07:44:58
VLG84EL,LPPR,D,VLG,A320,EC-KDG,07:30:00,07:45:13
QTR137,OTHH,A,TAM,A359,A7-AQA,07:35:00,07:08:00
CPA321,VHHH,A,CPA,A35K,B-LXL,07:35:00,07:25:38
VLG8MZ,LEBB,D,VLG,A320,EC-MER,07:35:00,07:51:04
VLG65GP,LIRN,D,VLG,A20N,EC-MZT,07:40:00,07:44:17
EJU74CE,EGAA,D,EZY,A320,OE-IZD,07:40:00,07:48:15
EJU62FP,LFSB,D,EZY,A320,OE-ICR,07:40:00,07:53:53
VLG2WB,EGKK,D,VLG,A321,EC-MQL,07:40:00,07:58:58
RYR1E,GMMX,D,RYR,B738,EI-DPT,07:40:00,08:03:29
UAL140,KIAD,A,UAL,B764,N77066,07:45:00,07:43:24
AEA6006,LEPA,A,AEA,B738,EC-III,07:50:00,07:38:26
VLG1512,LFML,D,VLG,A320,EC-LAA,07:50:00,08:04:58
VLG33F,LIMC,D,VLG,A20N,EC-NDC,07:50:00,08:10:31
WZZ570,LRTR,A,WZZ,A320,HA-LPY,07:55:00,07:24:35
VLG91UB,LEPA,A,VLG,A320,EC-LVT,07:55:00,07:48:32
VLG86TM,LKPR,D,VLG,A320,EC-MGE,07:55:00,08:02:39
