callsign,airp,a_d,airl,ac_model,tail,time_sch,time_atm
VLG43CD,LEIB,D,VLG,A320,EC-LLJ,07:00:00,07:00:22
VLG34DP,LIPZ,D,VLG,A321,EC-MMU,07:00:00,07:00:32
VLG10ML,LEMD,D,VLG,A320,EC-MBM,07:00:00,07:01:21
VLG108G,LFPO,D,VLG,A320,EC-KJD,07:00:00,07:19:12
VLG181J,EDDM,D,VLG,A320,EC-LZN,07:00:00,07:20:58
VLG7480,DAOO,D,VLG,A320,EC-MAI,07:05:00,07:19:26
VLG99ZY,LEPA,D,VLG,A321,EC-MGZ,07:05:00,07:23:06
VLG6207,LSGG,D,VLG,A320,EC-LZZ,07:10:00,07:14:33
VLG2974,LFRS,D,VLG,A320,EC-MEQ,07:10:00,07:20:26
VLG83KQ,EHAM,D,VLG,A320,EC-MXG,07:10:00,07:20:36
BAW477,EGLL,D,BAW,A320,G-EUYJ,07:10:00,07:21:32
EJU53TU,EGKK,D,EZY,A320,OE-IZD,07:10:00,07:22:17
VLG21HV,LEMG,D,VLG,A321,EC-MHB,07:10:00,07:23:01
VLG6246,LSZH,D,VLG,A20N,EC-NFH,07:10:00,07:28:09
RYR5QH,LIPE,D,RYR,B738,EI-FOF,07:15:00,07:24:28
ETD49,OMAA,A,ETD,B789,A6-BLK,07:20:00,07:00:35
VLG61PM,LIRF,D,VLG,A20N,EC-NDA,07:20:00,07:29:04
VLG24YL,GCRR,D,VLG,A321,EC-MOO,07:20:00,07:32:28
VLG84CS,LPPT,D,VLG,A321,EC-MLD,07:20:00,07:44:59
VLG18AN,EKCH,D,VLG,A320,EC-MVE,07:20:00,07:46:41
VLG37JJ,LEMH,D,VLG,A320,EC-MVN,07:20:00,07:52:34
RYR183D,LEPA,A,RYR,B738,EI-DWB,07:25:00,07:18:12
VLG84EL,LPPR,D,VLG,A320,EC-LRE,07:30:00,07:35:15
EJU62FP,LFSB,D,EZY,A320,OE-ICR,07:30:00,07:42:33
VLG244K,LFMN,D,VLG,A320,EC-MEL,07:30:00,07:44:53
VLG20AF,LEGR,D,VLG,A321,EC-MHA,07:30:00,07:49:18
CPA321,VHHH,A,CPA,A35K,B-LXF,07:35:00,07:41:12
QTR137,OTHH,A,TAM,A359,A7-AQA,07:35:00,07:42:28
VLG8MZ,LEBB,D,VLG,A320,EC-MFL,07:35:00,07:56:43
RYR1E,GMMX,D,RYR,B738,EI-DPY,07:40:00,07:41:28
EJU79AN,EGGD,D,EZY,A320,OE-IZL,07:40:00,07:51:14
VLG33F,LIMC,D,VLG,A20N,EC-NDC,07:40:00,07:51:44
VLG86TM,LKPR,D,VLG,A320,EC-LVV,07:40:00,07:57:47
VLG65GP,LIRN,D,VLG,A320,EC-LVO,07:40:00,08:06:26
UAL140,KIAD,A,UAL,B764,N69063,07:45:00,07:39:03
VLG2XX,LOWW,D,VLG,A320,EC-LUO,07:45:00,08:05:09
MLD597,LUKK,A,MLD,E190,ER-ECC,07:50:00,07:37:45
AEA6006,LEPA,A,AEA,B738,EC-LQX,07:50:00,07:42:37
VLG48PE,LFBD,D,VLG,A20N,EC-NDB,07:50:00,07:53:56
VLG242N,LFPG,D,VLG,A321,EC-MQL,07:50:00,08:12:52
VLG1512,LFML,D,VLG,A320,EC-MCU,07:50:00,08:23:13
VLG91UB,LEPA,A,VLG,A320,EC-KCU,07:55:00,07:44:33
DLH02K,EDDM,D,DLH,A320,D-AIUX,07:55:00,07:59:49
CCA839,ZSPD,A,CCA,A332,B-6536,08:00:00,07:35:09
THY6346,LTBA,D,KZU,A310,TC-VEL,08:00:00,08:03:03
RYR6362,LEPA,D,RYR,B738,EI-DWB,08:00:00,08:11:00
VLG74TG,GCXO,D,VLG,A320,EC-MKO,08:00:00,08:12:07
DLH25E,EDDF,D,DLH,A321,D-AIRT,08:00:00,08:17:42
IBK6LE,EFHK,D,NAX,B738,EI-FVY,08:00:00,08:18:36
EJU67YH,LIMC,A,EZY,A319,OE-LKD,08:05:00,07:51:12
VLG14GL,LEBB,A,VLG,A320,EC-MUM,08:10:00,07:49:15
VLG1311,LEAL,A,VLG,A320,EC-KDH,08:10:00,07:55:10
TRA89A,EHAM,A,TRA,B738,PH-HZG,08:10:00,08:01:13
RYR6397,LEZL,A,RYR,B738,EI-EMB,08:15:00,07:47:54
CCA845,ZBAA,A,CCA,A333,B-6102,08:15:00,08:10:26
VLG7893,ULLI,A,VLG,A20N,EC-MZT,08:20:00,07:58:17
TVF25JY,LFPO,A,TRA,B738,F-GZHQ,08:20:00,08:09:39
VLG80XK,LFPO,D,VLG,A320,EC-JSY,08:20:00,08:20:31
