callsign,airp,a_d,airl,ac_model,tail,time_sch,time_atm
VLG43CD,LEIB,D,VLG,A320,EC-MKO,07:00:00,07:00:57
VLG181J,EDDM,D,VLG,A320,EC-MXG,07:00:00,07:03:18
VLG10ML,LEMD,D,VLG,A320,EC-MVM,07:00:00,07:08:08
VLG108G,LFPO,D,VLG,A320,EC-LAB,07:00:00,07:08:10
VLG142E,LEBB,D,VLG,A321,EC-MQL,07:00:00,07:09:57
VLG34DP,LIPZ,D,VLG,A321,EC-MGZ,07:00:00,07:12:34
VLG84CG,EGKK,D,VLG,A20N,EC-NFJ,07:05:00,07:08:21
VLG99ZY,LEPA,D,VLG,A321,EC-MLM,07:05:00,07:08:24
VLG8560,BIKF,D,VLG,A320,EC-MAH,07:05:00,07:15:45
VLG21HV,LEMG,D,VLG,A321,EC-MLD,07:10:00,07:18:27
EJU53TU,EGKK,D,EZY,A320,OE-IZD,07:10:00,07:22:05
VLG2974,LFRS,D,VLG,A320,EC-MEL,07:10:00,07:22:40
VLG6207,LSGG,D,VLG,A320,EC-MEQ,07:10:00,07:26:39
VLG8538,ENGM,D,VLG,A20N,EC-NCT,07:10:00,07:26:49
VLG6246,LSZH,D,VLG,A20N,EC-NBA,07:10:00,07:28:26
VLG83KQ,EHAM,D,VLG,A320,EC-LQM,07:10:00,07:33:34
BAW477,EGLL,D,BAW,A320,G-EUYG,07:10:00,07:37:18
ETD49,OMAA,A,ETD,B789,A6-BLR,07:20:00,07:09:49
VLG84CS,LPPT,D,VLG,A320,EC-LOC,07:20:00,07:23:30
VLG18AN,EKCH,D,VLG,A20N,EC-NDB,07:20:00,07:24:25
VLG15DM,LEXJ,D,VLG,A320,EC-LVT,07:20:00,07:26:13
VLG61PM,LIRF,D,VLG,A20N,EC-NCS,07:20:00,07:26:24
IBE0721,LEMD,D,IBE,A321,EC-IJN,07:20:00,07:27:51
VLG37JJ,LEMH,D,VLG,A320,EC-MBE,07:20:00,07:28:41
VLG244K,LFMN,D,VLG,A320,EC-KDG,07:20:00,07:29:52
VLG32HM,LEVX,D,VLG,A320,EC-LRE,07:20:00,07:41:19
RYR183D,LEPA,A,RYR,B738,EI-FOB,07:25:00,07:04:14
VLG59QE,LEMD,D,VLG,A320,EC-LQK,07:30:00,07:32:55
VLG98ZP,LGAV,D,VLG,A321,EC-MRF,07:30:00,07:36:34
VLG84EL,LPPR,D,VLG,A320,EC-LUN,07:30:00,07:40:05
VLG85VY,EFHK,D,VLG,A320,EC-LVS,07:30:00,07:42:18
VLG20AF,LEGR,D,VLG,A321,EC-MGY,07:30:00,07:59:53
CPA321,VHHH,A,CPA,A35K,B-LXD,07:35:00,07:11:48
QTR137,OTHH,A,TAM,A359,A7-AMB,07:35:00,07:25:44
VLG8MZ,LEBB,D,VLG,A320,EC-MYC,07:35:00,07:41:19
VLG65GP,LIRN,D,VLG,A20N,EC-NAZ,07:40:00,07:41:51
EJU74CE,EGAA,D,EZY,A320,OE-ICR,07:40:00,07:48:17
VLG2WB,EGKK,D,VLG,A321,EC-MHA,07:40:00,07:49:52
EJU62FP,LFSB,D,EZY,A320,OE-IZL,07:40:00,07:52:44
RYR1E,GMMX,D,RYR,B738,EI-DHN,07:40:00,08:06:29
UAL140,KIAD,A,UAL,B772,N769UA,07:45:00,07:36:40
VLG2XX,LOWW,D,VLG,A320,EC-KJD,07:45:00,07:52:53
AEA6006,LEPA,A,AEA,B738,EC-LPR,07:50:00,07:39:00
VLG1512,LFML,D,VLG,A320,EC-MKN,07:50:00,08:02:32
VLG33F,LIMC,D,VLG,A20N,EC-NAE,07:50:00,08:09:04
DAL194,KATL,A,DAL,B764,N836MH,07:51:00,07:44:47
WZZ570,LRTR,A,WZZ,A320,HA-LWI,07:55:00,07:47:29
VLG91UB,LEPA,A,VLG,A320,EC-KCU,07:55:00,07:49:38
VLG86TM,LKPR,D,VLG,A320,EC-MKM,07:55:00,08:01:08
RYR907E,LEST,D,RYR,B738,EI-DLX,07:55:00,08:02:18
DLH02K,EDDM,D,DLH,A320,D-AIPF,07:55:00,08:06:06
CCA839,ZSPD,A,CCA,A332,B-6533,08:00:00,07:52:11
DLH25E,EDDF,D,DLH,A321,D-AIRR,08:00:00,08:01:30
ANE12KQ,LEBZ,D,IBE,CRJX,EC-MVZ,08:00:00,08:08:26
IBK8CY,ENBR,D,NAX,B738,EI-FVY,08:00:00,08:09:59
IBE0801,LEMD,D,IBE,A320,EC-LUL,08:00:00,08:12:55
VLG74TG,GCXO,D,VLG,A320,EC-MVD,08:00:00,08:17:17
RYR6362,LEPA,D,RYR,B738,EI-FOB,08:00:00,08:18:18
VLG242N,LFPG,D,VLG,A321,EC-MHB,08:00:00,08:22:51
EJU67YH,LIMC,A,EZY,A320,OE-IJU,08:05:00,07:38:30
LDM96D,LOWW,A,LDM,A320,OE-LOT,08:05:00,07:50:31
TRA89A,EHAM,A,TRA,B738,PH-HSA,08:10:00,08:10:56
VLG14GL,LEBB,A,VLG,A20N,EC-NCG,08:10:00,08:11:46
VLG1311,LEAL,A,VLG,A320,EC-MBT,08:10:00,08:17:09
VLG48PE,LFBD,D,VLG,A320,EC-MQE,08:10:00,08:20:24
VLG43BT,LIBD,D,VLG,A320,EC-MDZ,08:10:00,08:20:46
RYR63SX,LMML,D,RYR,B738,EI-EMB,08:10:00,08:30:19
RYR6397,LEZL,A,RYR,B738,EI-EKF,08:15:00,08:08:48
VLG80XK,LFPO,D,VLG,A320,EC-KDX,08:20:00,08:20:06
RYR6QA,GCXO,D,RYR,B738,EI-FIC,08:20:00,08:20:20
IBK5PH,EGKK,D,NAX,B738,EI-GBF,08:20:00,08:26:38
EWG4CK,EDDS,A,EWG,A320,D-AIZV,08:25:00,08:02:50
WZZ2SN,LROP,A,WZZ,A320,HA-LPS,08:25:00,08:06:35
EJU76TB,LFLL,A,EZY,A319,OE-LQV,08:25:00,08:08:09
VLG21AL,LEMG,A,VLG,A320,EC-MEA,08:25:00,08:13:56
WZZ161,LHBP,A,WZZ,A21N,HA-LVF,08:25:00,08:17:44
VLG22TQ,LEZL,A,VLG,A320,EC-MXP,08:25:00,08:31:44
EWG5B,LOWW,A,EWG,A320,D-ABFP,08:30:00,08:22:33
DLH22A,EDDM,A,DLH,A321,D-AIRA,08:30:00,08:23:06
IBE0831,LEMD,D,IBE,A320,EC-KOH,08:30:00,08:39:58
WZZ6BU,LRTR,D,WZZ,A320,HA-LWI,08:30:00,08:54:36
BEL6BC,EBBR,A,BEL,A320,OO-SNE,08:35:00,08:12:04
VLG41SB,LEST,A,VLG,A320,EC-JYX,08:35:00,08:20:52
VLG3923,LEPA,A,VLG,A20N,EC-NAJ,08:35:00,08:28:21
VLG70AR,LFPO,A,VLG,A321,EC-MJR,08:40:00,08:37:39
VLG39ZS,LEPA,D,VLG,A320,EC-KCU,08:40:00,08:41:52
EJU68LP,LIMC,D,EZY,A320,OE-IJU,08:40:00,08:43:13
AEA52UP,LEPA,D,AEA,B738,EC-LPR,08:40:00,09:27:32
EWG47Y,EDDL,A,EWG,A320,D-AEWM,08:45:00,08:30:13
WZZ473,LHDC,A,WZZ,A320,HA-LWN,08:45:00,08:47:13
VLG3NF,LECO,A,VLG,A320,EC-LOP,08:45:00,08:58:13
SWR198F,LSZH,A,SWR,A321,HB-IOK,08:50:00,08:27:20
VLG7845,LLBG,A,VLG,A320,EC-LVU,08:50:00,08:37:38
QTR19LJ,OTHH,D,TAM,A359,A7-AMB,08:50:00,08:53:20
RYR39AJ,LEZL,D,RYR,B738,EI-EKF,08:50:00,09:06:55
TRA90B,EHRD,A,TRA,B737,PH-XRY,08:55:00,08:37:13
AEA7701,LEMD,A,AEA,A332,EC-JZL,08:55:00,08:45:23
VLG39PB,LEPA,A,VLG,A320,EC-LLJ,08:55:00,08:48:51
EJU76LR,LIRN,A,EZY,A319,OE-LQA,08:55:00,08:50:56
VLG691Z,LIRF,A,VLG,A320,EC-MVE,08:55:00,08:53:36
VLG15NT,LEAS,A,VLG,A320,EC-LVV,08:55:00,08:56:27
VLG4TZ,LEBB,D,VLG,A20N,EC-NCG,08:55:00,08:57:05
TRA132K,EHAM,D,TRA,B738,PH-HSA,08:55:00,09:02:47
VLG48SG,LEAL,D,VLG,A320,EC-MBM,08:55:00,09:03:35
RYR7XM,EDDB,A,RYR,B738,EI-EBX,09:00:00,08:54:06
TUI94T,EDDF,D,TUI,B738,D-ATUK,09:00:00,09:01:46
VLG5PK,LEMD,D,VLG,A320,EC-MBY,09:00:00,09:06:21
EJU57NR,LFLL,D,EZY,A319,OE-LQV,09:00:00,09:08:45
LDM68JT,LOWW,D,LDM,A320,OE-LOT,09:00:00,09:16:53
VLG7460,LEMD,A,VLG,A320,EC-KMI,09:05:00,08:43:22
EWG520,EDDK,A,EWG,A320,D-AEUH,09:05:00,08:50:47
EWG2HC,EDDS,D,EWG,A320,D-AIZV,09:05:00,09:26:23
AAL112,KMIA,A,AAL,B772,N787AL,09:10:00,08:40:27
VLG14ZU,LEBB,A,VLG,A320,EC-LVP,09:10:00,08:45:10
AFR17BY,LFPG,A,AFR,A320,F-GKXJ,09:10:00,08:52:17
TAP1030,LPPR,A,TAP,A319,CS-TTR,09:10:00,08:53:39
VLG22UL,LEZL,D,VLG,A320,EC-MXP,09:10:00,09:29:03
VLG21CM,LEMG,D,VLG,A320,EC-MEA,09:10:00,09:34:31
DLH32K,EDDM,D,DLH,A321,D-AIRA,09:15:00,09:24:49
EWG7TJ,LOWW,D,EWG,A320,D-ABFP,09:15:00,09:25:36
RYR5QH,LIPE,D,RYR,B738,EI-DYP,09:15:00,09:26:01
EJU81EU,LFPG,A,EZY,A320,OE-IJQ,09:20:00,09:07:27
FOO884E,EHAM,A,FOO,A321,OE-LCR,09:20:00,09:11:37
WZZ9PN,LROP,D,WZZ,A320,HA-LPS,09:20:00,09:20:20
TAM8114,SBGR,A,TAM,B763,PT-MSW,09:20:00,09:24:24
WZZ3EX,LHBP,D,WZZ,A21N,HA-LVF,09:20:00,09:24:37
BAW472,EGLL,A,BAW,A320,G-EUUJ,09:20:00,09:27:14
VLG35JE,LEIB,D,VLG,A320,EC-MBT,09:20:00,09:29:31
VLG5XZ,LEST,D,VLG,A320,EC-JYX,09:20:00,09:32:43
RYR8HR,LPPR,A,RYR,B738,EI-FTR,09:20:00,09:35:38
IBK3654,EKCH,A,NAX,B738,EI-FHJ,09:25:00,09:04:06
VLG22FC,LEZL,A,VLG,A320,EC-LUO,09:25:00,09:16:26
BEL96C,EBBR,D,BEL,A320,OO-SNE,09:25:00,09:32:09
VLG80EQ,LFPO,D,VLG,A321,EC-MQB,09:25:00,09:33:45
VLG39VW,LEPA,D,VLG,A20N,EC-NAJ,09:25:00,09:36:52
RYR75KC,LEIB,A,RYR,B738,EI-FZN,09:30:00,09:21:12
VLG7477,DAAG,A,VLG,A320,EC-JZI,09:30:00,09:32:29
WZZ4040,LHDC,D,WZZ,A320,HA-LWN,09:30:00,09:32:39
EWG6VU,EDDL,D,EWG,A320,D-AEWM,09:30:00,09:33:16
VLG12HG,LECO,D,VLG,A320,EC-LAA,09:30:00,09:46:43
EJU23ZC,LIRN,D,EZY,A319,OE-LQA,09:30:00,09:47:20
VLG248X,LESO,A,VLG,A319,EC-MGF,09:35:00,09:10:05
EIN6XA,EICK,A,EIN,A320,EI-DEO,09:35:00,09:11:35
VLG63QS,LEPA,A,VLG,A321,EC-MLM,09:35:00,09:18:14
VLG75BB,LEIB,A,VLG,A320,EC-MKO,09:35:00,09:31:58
DLH11Y,EDDF,A,DLH,A321,D-AISW,09:35:00,09:37:47
RYR1DN,EDDB,D,RYR,B738,EI-EBX,09:35:00,09:45:22
BMS8AT,LROP,A,BMS,B734,YR-BAZ,09:40:00,09:33:51
SWR195N,LSZH,D,SWR,A321,HB-IOK,09:40:00,09:46:38
VLG37LX,LEMH,D,VLG,A320,EC-LVV,09:40:00,09:49:54
AAL113,KMIA,D,AAL,B772,N785AN,09:40:00,09:50:45
TRA11R,EHRD,D,TRA,B737,PH-XRY,09:40:00,09:54:29
