callsign,airp,a_d,airl,ac_model,tail,time_sch,time_atm
VLG34DP,LIPZ,D,VLG,A321,EC-MPV,07:00:00,07:01:49
VLG142E,LEBB,D,VLG,A320,EC-LRY,07:00:00,07:04:36
VLG7010,LEMD,D,VLG,A320,EC-KDX,07:00:00,07:07:51
VLG43CD,LEIB,D,VLG,A20N,EC-NAF,07:00:00,07:13:32
VLG181J,EDDM,D,VLG,A320,EC-MBY,07:00:00,07:19:06
VLG108G,LFPO,D,VLG,A320,EC-MKM,07:00:00,07:37:04
VLG99ZY,LEPA,D,VLG,A321,EC-MLM,07:05:00,07:11:36
VLG21HV,LEMG,D,VLG,A321,EC-MOO,07:10:00,07:13:14
VLG8538,ENGM,D,VLG,A20N,EC-NCT,07:10:00,07:13:58
BAW477,EGLL,D,BAW,A320,G-EUUL,07:10:00,07:14:12
VLG83KQ,EHAM,D,VLG,A320,EC-MVO,07:10:00,07:22:44
VLG6246,LSZH,D,VLG,A320,EC-MFL,07:10:00,07:31:47
EJU53TU,EGKK,D,EZY,A320,OE-IZL,07:10:00,07:31:56
ETD49,OMAA,A,ETD,B789,A6-BLX,07:20:00,07:22:18
IBE0721,LEMD,D,IBE,A320,EC-IZH,07:20:00,07:25:56
VLG37JJ,LEMH,D,VLG,A20N,EC-NBA,07:20:00,07:28:00
VLG84CS,LPPT,D,VLG,A321,EC-MQL,07:20:00,07:28:14
VLG244K,LFMN,D,VLG,A320,EC-LVT,07:20:00,07:31:11
VLG98ZP,LGAV,D,VLG,A321,EC-MHS,07:20:00,07:33:26
VLG32HM,LEVX,D,VLG,A20N,EC-NAJ,07:20:00,07:34:35
VLG61PM,LIRF,D,VLG,A320,EC-LOB,07:20:00,07:37:30
VLG18AN,EKCH,D,VLG,A320,EC-MCU,07:20:00,07:38:31
RYR183D,LEPA,A,RYR,B738,EI-DYD,07:25:00,07:20:34
VLG20AF,LEGR,D,VLG,A321,EC-MHA,07:30:00,07:36:01
VLG84EL,LPPR,D,VLG,A320,EC-MEL,07:30:00,07:40:03
VLG7310,LEMD,D,VLG,A320,EC-MVM,07:30:00,07:53:10
QTR137,OTHH,A,TAM,A359,A7-AMA,07:35:00,07:06:39
CPA321,VHHH,A,CPA,A35K,B-LXE,07:35:00,07:32:58
VLG2WB,EGKK,D,VLG,A321,EC-MRF,07:35:00,07:35:33
VLG8MZ,LEBB,D,VLG,A320,EC-LLJ,07:35:00,07:48:07
VLG33F,LIMC,D,VLG,A20N,EC-NAZ,07:40:00,07:41:52
VLG65GP,LIRN,D,VLG,A320,EC-MXG,07:40:00,07:49:35
EJU62FP,LFSB,D,EZY,A320,OE-IZW,07:40:00,08:09:25
