callsign,airp,a_d,airl,ac_model,tail,time_sch,time_atm
VLG181J,EDDM,D,VLG,A320,EC-MBL,07:00:00,07:03:55
VLG142E,LEBB,D,VLG,A320,EC-MNZ,07:00:00,07:05:59
VLG7010,LEMD,D,VLG,A320,EC-MVM,07:00:00,07:08:37
VLG34DP,LIPZ,D,VLG,A321,EC-MHS,07:00:00,07:10:10
VLG108G,LFPO,D,VLG,A20N,EC-NCG,07:00:00,07:12:54
VLG43CD,LEIB,D,VLG,A320,EC-LAA,07:00:00,07:15:14
VLG84CG,EGKK,D,VLG,A320,EC-MEL,07:05:00,07:05:50
VLG99ZY,LEPA,D,VLG,A321,EC-MQL,07:05:00,07:32:50
VLG83KQ,EHAM,D,VLG,A320,EC-MGE,07:10:00,07:10:46
VLG21HV,LEMG,D,VLG,A321,EC-MGY,07:10:00,07:12:25
VLG2974,LFRS,D,VLG,A320,EC-KHN,07:10:00,07:15:05
BAW477,EGLL,D,BAW,A320,G-TTOB,07:10:00,07:22:06
VLG6207,LSGG,D,VLG,A320,EC-MBE,07:10:00,07:24:34
EJU53TU,EGKK,D,EZY,A320,OE-IZW,07:10:00,07:29:20
VLG6246,LSZH,D,VLG,A320,EC-LUN,07:10:00,07:39:49
ETD49,OMAA,A,ETD,B789,A6-BLR,07:20:00,07:10:34
VLG244K,LFMN,D,VLG,A320,EC-KJD,07:20:00,07:20:07
VLG37JJ,LEMH,D,VLG,A320,EC-LQZ,07:20:00,07:22:56
VLG18AN,EKCH,D,VLG,A320,EC-MBK,07:20:00,07:25:28
IBK6375,GCXO,D,NAX,B738,EI-GBF,07:20:00,07:26:30
VLG84CS,LPPT,D,VLG,A321,EC-MHB,07:20:00,07:33:29
VLG61PM,LIRF,D,VLG,A320,EC-JGM,07:20:00,07:35:06
VLG32HM,LEVX,D,VLG,A320,EC-LZZ,07:20:00,07:50:13
RYR183D,LEPA,A,RYR,B738,EI-FIR,07:25:00,07:27:46
VLG2480,GCRR,D,VLG,A20N,EC-NDA,07:30:00,07:30:35
VLG20AF,LEGR,D,VLG,A321,EC-MQB,07:30:00,07:32:51
THY6351,LFSB,D,THY,A332,TC-JOV,07:30:00,07:34:56
VLG98ZP,LGAV,D,VLG,A321,EC-MLM,07:30:00,07:52:21
QTR137,OTHH,A,TAM,A359,A7-AMB,07:35:00,07:19:18
EJU36VU,LFBD,D,EZY,A320,OE-IZL,07:35:00,07:35:28
VLG2WB,EGKK,D,VLG,A321,EC-MMU,07:35:00,07:43:34
VLG26JP,GCFV,D,VLG,A320,EC-MJB,07:40:00,07:43:39
VLG65GP,LIRN,D,VLG,A320,EC-JYX,07:40:00,07:46:18
VLG33F,LIMC,D,VLG,A320,EC-KDX,07:40:00,07:46:39
RYR2DG,EGFF,D,RYR,B738,EI-DLG,07:40:00,07:47:32
EJU62FP,LFSB,D,EZY,A320,OE-IZD,07:40:00,08:02:33
UAL140,KIAD,A,UAL,B764,N67052,07:45:00,07:29:01
VLG2XX,LOWW,D,VLG,A320,EC-MOG,07:45:00,08:02:25
VLG1594,LEXJ,D,VLG,A20N,EC-NDB,07:50:00,07:53:10
VLG86TM,LKPR,D,VLG,A320,EC-KRH,07:50:00,08:08:02
VLG48PE,LFBD,D,VLG,A320,EC-MXG,07:50:00,08:10:02
AEA6006,LEPA,A,AEA,B738,EC-IDT,07:50:00,08:12:25
VLG242N,LFPG,D,VLG,A321,EC-MHA,07:50:00,08:20:44
SQP741,UKBB,A,SQP,B738,UR-SQA,07:55:00,07:38:05
VLG91UB,LEPA,A,VLG,A20N,EC-NEA,07:55:00,07:45:21
DLH02K,EDDM,D,DLH,A320,D-AIUZ,07:55:00,08:03:28
CCA839,ZSPD,A,CCA,A332,B-5918,08:00:00,07:53:28
VLG6602,LICJ,D,VLG,A320,EC-MBD,08:00:00,08:02:19
IBK8VF,ENGM,D,NAX,B738,EI-FVZ,08:00:00,08:04:52
DLH25E,EDDF,D,DLH,A321,D-AIRL,08:00:00,08:08:54
RYR4WU,EGBB,D,RYR,B738,EI-DAF,08:00:00,08:10:08
RYR6362,LEPA,D,RYR,B738,EI-FIR,08:00:00,08:10:26
IBK6LE,EFHK,D,NAX,B738,EI-FVW,08:00:00,08:15:02
