callsign,airp,a_d,airl,ac_model,tail,time_sch,time_atm
VLG34DP,LIPZ,D,VLG,A321,EC-MHA,07:00:00,07:05:31
VLG142E,LEBB,D,VLG,A320,EC-LOC,07:00:00,07:16:43
VLG43CD,LEIB,D,VLG,A320,EC-MVE,07:00:00,07:19:09
VLG10ML,LEMD,D,VLG,A20N,EC-NDA,07:00:00,07:21:10
VLG108G,LFPO,D,VLG,A320,EC-MCU,07:00:00,07:24:25
VLG181J,EDDM,D,VLG,A320,EC-MKO,07:00:00,07:25:52
VLG84CG,EGKK,D,VLG,A320,EC-MXG,07:05:00,07:13:46
VLG99ZY,LEPA,D,VLG,A321,EC-MQL,07:05:00,07:14:54
VLG6246,LSZH,D,VLG,A320,EC-MXP,07:10:00,07:11:57
VLG2974,LFRS,D,VLG,A320,EC-LLM,07:10:00,07:13:07
BAW477,EGLL,D,BAW,A320,G-EUYG,07:10:00,07:19:42
VLG6207,LSGG,D,VLG,A320,EC-KHN,07:10:00,07:27:34
VLG21HV,LEMG,D,VLG,A321,EC-MMH,07:10:00,07:33:44
VLG83KQ,EHAM,D,VLG,A320,EC-LZN,07:10:00,07:35:43
EJU53TU,EGKK,D,EZY,A320,OE-ICR,07:10:00,07:36:45
VLG8538,ENGM,D,VLG,A20N,EC-NFH,07:10:00,07:40:53
ETD49,OMAA,A,ETD,B789,A6-BLH,07:20:00,07:18:18
VLG61PM,LIRF,D,VLG,A320,EC-MVM,07:20:00,07:21:56
VLG84CS,LPPT,D,VLG,A320,EC-MAO,07:20:00,07:23:21
VLG98ZP,LGAV,D,VLG,A321,EC-MLD,07:20:00,07:25:33
VLG244K,LFMN,D,VLG,A319,EC-MIQ,07:20:00,07:27:38
VLG15DM,LEXJ,D,VLG,A320,EC-LOB,07:20:00,07:28:19
VLG32HM,LEVX,D,VLG,A320,EC-MVN,07:20:00,07:35:07
VLG37JJ,LEMH,D,VLG,A20N,EC-NDB,07:20:00,07:39:16
IBE0721,LEMD,D,IBE,A320,EC-ILS,07:20:00,07:44:04
RYR183D,LEPA,A,RYR,B738,EI-DWB,07:25:00,07:05:22
VLG20AF,LEGR,D,VLG,A321,EC-MLM,07:30:00,07:34:10
VLG59QE,LEMD,D,VLG,A320,EC-MBY,07:30:00,07:40:04
VLG85VY,EFHK,D,VLG,A20N,EC-NAZ,07:30:00,07:44:48
QTR137,OTHH,A,TAM,A359,A7-AMA,07:35:00,07:23:14
VLG2WB,EGKK,D,VLG,A321,EC-MOO,07:35:00,07:40:24
VLG8MZ,LEBB,D,VLG,A20N,EC-NDC,07:35:00,07:40:47
VLG84EL,LPPR,D,VLG,A320,EC-MBE,07:35:00,07:45:38
VLG65GP,LIRN,D,VLG,A320,EC-MLE,07:40:00,07:47:12
VLG33F,LIMC,D,VLG,A320,EC-MQE,07:40:00,07:48:39
EJU62FP,LFSB,D,EZY,A320,OE-IZW,07:40:00,08:07:18
UAL140,KIAD,A,UAL,B764,N76065,07:45:00,07:44:33
IBE0630,LEMD,A,IBE,A20N,EC-NER,07:45:00,07:47:54
VLG2XX,LOWW,D,VLG,A320,EC-LVV,07:45:00,08:07:45
RYR2GX,LIPE,A,RYR,B738,EI-DHD,07:50:00,07:31:06
AEA6006,LEPA,A,AEA,B738,EC-LYR,07:50:00,07:49:04
RYR10TU,EPMO,D,RYR,B738,EI-DAC,07:50:00,07:53:13
EZS76ZK,LSGG,A,EZY,A320,HB-JXA,07:50:00,07:53:43
VLG86TM,LKPR,D,VLG,A320,EC-MGE,07:50:00,08:07:50
VLG1512,LFML,D,VLG,A20N,EC-NCU,07:50:00,08:09:44
VLG242N,LFPG,D,VLG,A321,EC-MRF,07:50:00,08:24:08
VLG91UB,LEPA,A,VLG,A320,EC-KCU,07:55:00,07:42:19
SQP741,UKBB,A,SQP,B738,UR-SQH,07:55:00,07:48:00
WZZ570,LRTR,A,WZZ,A320,HA-LPY,07:55:00,08:04:06
DLH02K,EDDM,D,DLH,A320,D-AIQA,07:55:00,08:04:13
IBK6LE,EFHK,D,NAX,B738,EI-FVZ,08:00:00,08:00:35
RYR6362,LEPA,D,RYR,B738,EI-DWB,08:00:00,08:03:57
DLH25E,EDDF,D,DLH,A321,D-AIRH,08:00:00,08:04:21
IBK8CY,ENBR,D,NAX,B738,EI-FVY,08:00:00,08:05:07
RYR1E,GMMX,D,RYR,B738,EI-DCX,08:00:00,08:05:26
RYR21JE,LIPZ,D,RYR,B738,EI-EBL,08:00:00,08:06:15
IBE0801,LEMD,D,IBE,A320,EC-IEF,08:00:00,08:09:18
VLG74TG,GCXO,D,VLG,A320,EC-MEQ,08:00:00,08:20:40
EJU67YH,LIMC,A,ART,A320,ES-SAS,08:05:00,07:51:25
